,EVENTMSGACTIONTYPE,EVENTMSGTYPE,EVENTNUM,GAME_ID,HOMEDESCRIPTION,NEUTRALDESCRIPTION,PCTIMESTRING,PERIOD,PERSON1TYPE,PERSON2TYPE,PERSON3TYPE,PLAYER1_ID,PLAYER1_NAME,PLAYER1_TEAM_ABBREVIATION,PLAYER1_TEAM_CITY,PLAYER1_TEAM_ID,PLAYER1_TEAM_NICKNAME,PLAYER2_ID,PLAYER2_NAME,PLAYER2_TEAM_ABBREVIATION,PLAYER2_TEAM_CITY,PLAYER2_TEAM_ID,PLAYER2_TEAM_NICKNAME,PLAYER3_ID,PLAYER3_NAME,PLAYER3_TEAM_ABBREVIATION,PLAYER3_TEAM_CITY,PLAYER3_TEAM_ID,PLAYER3_TEAM_NICKNAME,SCORE,SCOREMARGIN,VISITORDESCRIPTION,WCTIMESTRING
264,12,3,274,20001116,,,3:42,3,5,0,0,87,Dikembe Mutombo,PHI,Philadelphia,1610612755,76ers,0,,,,,,0,,,,,,,,MISS Mutombo Free Throw 2 of 2,1:44 PM
265,0,4,275,20001116,Mourning REBOUND (Off:2 Def:5),,3:41,3,4,0,0,297,Alonzo Mourning,MIA,Miami,1610612748,Heat,0,,,,,,0,,,,,,,,,1:44 PM
266,1,2,276,20001116,MISS Mourning 14' Jump Shot,,3:24,3,4,0,0,297,Alonzo Mourning,MIA,Miami,1610612748,Heat,0,,,,,,0,,,,,,,,,1:45 PM
267,0,4,277,20001116,,,3:22,3,5,0,0,87,Dikembe Mutombo,PHI,Philadelphia,1610612755,76ers,0,,,,,,0,,,,,,,,Mutombo REBOUND (Off:2 Def:6),1:45 PM
268,1,2,278,20001116,,,3:16,3,5,0,0,248,George Lynch,PHI,Philadelphia,1610612755,76ers,0,,,,,,0,,,,,,,,MISS Lynch 8' Jump Shot,1:45 PM
269,0,4,279,20001116,Mourning REBOUND (Off:2 Def:6),,3:14,3,4,0,0,297,Alonzo Mourning,MIA,Miami,1610612748,Heat,0,,,,,,0,,,,,,,,,1:45 PM
270,1,2,280,20001116,MISS Majerle 20' Jump Shot,,2:52,3,4,0,0,105,Dan Majerle,MIA,Miami,1610612748,Heat,0,,,,,,0,,,,,,,,,1:45 PM
271,0,4,281,20001116,,,2:50,3,5,0,0,947,Allen Iverson,PHI,Philadelphia,1610612755,76ers,0,,,,,,0,,,,,,,,Iverson REBOUND (Off:1 Def:1),1:45 PM
272,44,2,282,20001116,,,2:44,3,5,0,0,1934,Rodney Buford,PHI,Philadelphia,1610612755,76ers,0,,,,,,0,,,,,,,,MISS Buford  Reverse Layup,1:45 PM
273,0,4,283,20001116,Mourning REBOUND (Off:2 Def:7),,2:42,3,4,0,0,297,Alonzo Mourning,MIA,Miami,1610612748,Heat,0,,,,,,0,,,,,,,,,1:45 PM
274,42,2,284,20001116,MISS Mason  Driving Layup,,2:24,3,4,0,0,193,Anthony Mason,MIA,Miami,1610612748,Heat,0,,,,,,0,,,,,,,,,1:46 PM
275,0,4,285,20001116,,,2:22,3,5,0,0,87,Dikembe Mutombo,PHI,Philadelphia,1610612755,76ers,0,,,,,,0,,,,,,,,Mutombo REBOUND (Off:2 Def:7),1:46 PM
276,3,6,286,20001116,Mason L.B.FOUL (P2.PN),,2:22,3,4,0,1,193,Anthony Mason,MIA,Miami,1610612748,Heat,0,,,,,,0,,,,,,,,,1:46 PM
277,1,9,287,20001116,,,2:22,3,3,0,0,1610612755,,,,,,0,,,,,,0,,,,,,,,76ers Timeout: Regular (Reg.3 Short 1),1:46 PM
278,0,8,289,20001116,SUB: Carter FOR Hardaway,,2:22,3,4,4,0,896,Tim Hardaway,MIA,Miami,1610612748,Heat,1853,Anthony Carter,MIA,Miami,1610612748,Heat,0,,,,,,,,,1:49 PM
279,11,3,290,20001116,,,2:22,3,5,0,0,248,George Lynch,PHI,Philadelphia,1610612755,76ers,0,,,,,,0,,,,,,49 - 53,4,Lynch Free Throw 1 of 2 (3 PTS),1:49 PM
280,12,3,291,20001116,,,2:22,3,5,0,0,248,George Lynch,PHI,Philadelphia,1610612755,76ers,0,,,,,,0,,,,,,50 - 53,3,Lynch Free Throw 2 of 2 (4 PTS),1:49 PM
281,1,6,292,20001116,,,2:08,3,5,0,1,727,Eric Snow,PHI,Philadelphia,1610612755,76ers,0,,,,,,0,,,,,,,,Snow P.FOUL (P3.PN),1:50 PM
282,11,3,293,20001116,MISS Mourning Free Throw 1 of 2,,2:08,3,4,0,0,297,Alonzo Mourning,MIA,Miami,1610612748,Heat,0,,,,,,0,,,,,,,,,1:50 PM
283,1,4,294,20001116,HEAT Rebound,,2:08,3,2,0,0,1610612748,,,,,,0,,,,,,0,,,,,,,,,1:50 PM
284,12,3,295,20001116,Mourning Free Throw 2 of 2 (11 PTS),,2:08,3,4,0,0,297,Alonzo Mourning,MIA,Miami,1610612748,Heat,0,,,,,,0,,,,,,50 - 54,4,,1:50 PM
285,1,5,296,20001116,Bowen STEAL (1 STL),,1:58,3,5,4,0,727,Eric Snow,PHI,Philadelphia,1610612755,76ers,1477,Bruce Bowen,MIA,Miami,1610612748,Heat,0,,,,,,,,Snow Bad Pass Turnover (P1.T12),1:51 PM
286,1,2,297,20001116,MISS Carter 16' Jump Shot,,1:50,3,4,0,0,1853,Anthony Carter,MIA,Miami,1610612748,Heat,0,,,,,,0,,,,,,,,,1:51 PM
287,0,4,298,20001116,Mourning REBOUND (Off:3 Def:7),,1:48,3,4,0,0,297,Alonzo Mourning,MIA,Miami,1610612748,Heat,0,,,,,,0,,,,,,,,,1:51 PM
288,1,2,299,20001116,MISS Mason 16' Jump Shot,,1:38,3,4,0,0,193,Anthony Mason,MIA,Miami,1610612748,Heat,0,,,,,,0,,,,,,,,,1:51 PM
289,0,4,300,20001116,,,1:36,3,5,0,0,87,Dikembe Mutombo,PHI,Philadelphia,1610612755,76ers,0,,,,,,0,,,,,,,,Mutombo REBOUND (Off:2 Def:8),1:51 PM
290,1,6,301,20001116,Bowen P.FOUL (P4.PN),,1:27,3,4,0,1,1477,Bruce Bowen,MIA,Miami,1610612748,Heat,0,,,,,,0,,,,,,,,,1:52 PM
291,11,3,302,20001116,,,1:27,3,5,0,0,947,Allen Iverson,PHI,Philadelphia,1610612755,76ers,0,,,,,,0,,,,,,51 - 54,3,Iverson Free Throw 1 of 2 (21 PTS),1:52 PM
292,0,8,303,20001116,,,1:27,3,5,5,0,87,Dikembe Mutombo,PHI,Philadelphia,1610612755,76ers,238,Tyrone Hill,PHI,Philadelphia,1610612755,76ers,0,,,,,,,,SUB: Hill FOR Mutombo,1:52 PM
293,0,8,304,20001116,SUB: Hardaway FOR Bowen,,1:27,3,4,4,0,1477,Bruce Bowen,MIA,Miami,1610612748,Heat,896,Tim Hardaway,MIA,Miami,1610612748,Heat,0,,,,,,,,,1:52 PM
294,12,3,305,20001116,,,1:27,3,5,0,0,947,Allen Iverson,PHI,Philadelphia,1610612755,76ers,0,,,,,,0,,,,,,52 - 54,2,Iverson Free Throw 2 of 2 (22 PTS),1:52 PM
295,1,2,306,20001116,MISS Carter 15' Jump Shot,,1:15,3,4,0,0,1853,Anthony Carter,MIA,Miami,1610612748,Heat,0,,,,,,0,,,,,,,,,1:53 PM
296,0,4,307,20001116,HEAT Rebound,,1:14,3,2,0,0,1610612748,,,,,,0,,,,,,0,,,,,,,,,1:53 PM
297,3,6,308,20001116,,,1:14,3,5,0,1,248,George Lynch,PHI,Philadelphia,1610612755,76ers,0,,,,,,0,,,,,,,,Lynch L.B.FOUL (P1.PN),1:53 PM
298,11,3,309,20001116,MISS Mason Free Throw 1 of 2,,1:14,3,4,0,0,193,Anthony Mason,MIA,Miami,1610612748,Heat,0,,,,,,0,,,,,,,,,1:53 PM
